a,b,c,d,e
1064|1065|1066	jors|et est el chastel des Illl|Pierres,xu|iours a passes|et est au chastel des quatre pierres,que abra destas nuebas|como dixo lançarote no lo sabe,iors a passes|si gist el castel des|iiij|pierres,giorni fa ed è il corpo con tutto il capo nel castello di Quatro Pieri
1067|1068	et le gardent iluec|si celeement,Et le gardent illec|si celleement,ansi me ayude dios dixo ella no maguer,Et le gardent illueques|si celeement,e l guardano nel luogo|si celatamente
1069|1070|1071	que li rois n en set encore riens:|si en covendra esploitier al plus sagement|que vos porrois,que se roy nen scait encores riens: mes dictes moy a,que a quinze dias|que an traido aesta tierra el cuerpo de meliangas,que li roys nen set encore noient|Si vous en conuendra esploitier au plus tost Iu tzsal|que vous porres,che il re non ne sa ancora nulla|;|si vo ne converà portare al più saggiamente|che vo' potrete
1072|1073|1074	Mes a|quant est li jors|que vos vos en devés deffendre,quant est le iour|que uous uous deuez deffendre,mas tienenlo enel castillo delas quatro piedras muy encubiertamente quelo no sepa su Padre|e ansi vos conuiene de vos encubrir muy sabiamente,Mais a|quant est li iors|que vous en baes a desfendre,|che vo' ve ne dovete difendere
1075|1076|1077|1078	?|Et il dist|que c est le jor de la Magdalaine|Or vos en conseut Diex fet ele,Et il dit|que cest au iour de la magdalaine|Or uous conseille dieu fait elle:,mas quando es el dia|que vos auedes de defender el dia dela magdalena dixo lançarote,Et il dist|que chou est le ior de la magdalaine|Or vous en consaut diex fait elle,?|Ed e' dice el di della Madalena|e|Or vo ne consigli lddio|diss ella
1079	kar j ai grant poor,car iay grant paour,si dios me ayude dixo la donçella yo he gran miedo,quar iou ai grant doute,ch i' ò gran dotta
1080	que Argodras ne vos face anui par traïson,que agarindes ne uous face auoir|quel que trayson,que vos el faga matar algodras|por Alguna traiçion deso dixo lançarote no ayais Miedo,que argondras ne vous face anui ou traison De chou fait il naies ia garde,che Argondras non vo faccia invidia o tradigione
	,,,,— Di ciò
	,,,,diss elli
1081|1082	— De ce fet il n aiés ja garde! Tot son pooir en face|que je n en avrai ja poor,De ce fait il naiez ia paour,e el faga todo su poder|Ca yo me guardare deGuisa|Que no aya del pabor Conel ayuda de dios,mais tout son pooir en face|quar iou nen asulrai ia paour,non abbiate già guardia|: tutto suo podere ne faccia|ch io non arò già paurab
1083	Assés parlerent cele nuit de maintes choses a,Assez parlent celle nuit de plusieurs choses,Asi fablaron toda aquella noche de muchas cosas,lele nuit fu lancelot moult a aise,Assai parlarono quella notte di molte cose intra Lancellotto
	,,,,e la damigella
	,,,,e molto feciono lquelli del castello
1084	et molt firent cil del chastel grant joie de lor dame qu il cuidoient avoir perdue,et menlt firent ceulx du chasteau grant feste de lui|et de leur dame quilz cuidoient auoir perdue,e Mucho façian gran alegria los del castillo|porque asi auian cobrado a su señora,et moult firent cil del chastel ioie de lui|& de lor dame,! grande gioia di lor dama|ch elli credieno aver perduta a tutto giorno mai
1085|1086|1087	et or l ont saine|et haîtie|Et al matin,Et au matin,Que ayudauan ental manera Perder|e enla mañana en,que il quidoient auoir perdue|Et au matin,e or l ânno con esso loro sana|e adatata|eAl mattino
1088	si tost com li jors parut cler se leva Lancelos,si tost comment le iour apparut se leua lancelot,quanto el dia aparesçio claro se leuanto lançarote,si tost com li iors apparut se leua lancelot,si tosto come il giorno apari chiaro|si levò Lancellotto
1089|1090	et se parti de la damoisele|quant il fu armés;,et print congie de la damoiselle,e se partio dela donçella|e des|que fue armado,et sarma|& prist congie a la damoisele,e si parti dalla damigella quand'e' fu armato
1091	et ele le commande molt a Dieu,Et elle le commanda a dieu,e la acomendo a dios Señor dixo la donçella yo vos Ruego,et elle le commande a dilelu,ed ella il comandò molto a dDio
1092	et li pria qu il s en revenist par li al repairier;,et lui pria quil reuenist par elle au repairier,Que al tornar vengades|Por aqui de Grado dixo lançarote,et li pria quil reuenist par li au repairier,e l priega molto dolcemente|che ritornasse per lo luogo a riparare
1093	et il dist,Et il dit,si pudiere,Et il li dist,Ed e' dice
1094	que si feroit il s il pooit,que si feroit il sil pouoit,,que si feroit il se il pooit,che sì farà elli s elli potrà
1095	Si se remet en son chemin,Il se met en son chemin,e luego se metio enel camino,si se met en son chemin,si si rimette in suo camino
1096|1097	et eirre tot le jor jusqu al vespre|et lors aproche d une riviere,et erre iusques au soir|Lors approuche de une riuiere,e andubo todo aquel dia porvna rribera ayuso fasta visperas,& esra toute iour iusques au soir|Et lors aproche dune riuiere,e va tutto giorno insin qua a vespero|Allora apressima d una riviera
1098	que l en apeloit Aglonde,que len appelloit aglondes,,que on apeloit agloride,che l uom chiamava Aglonda
1099|1100|1101|1102	si en estoit l eve molt parfonde|et molt noire|Et quant il vint pres de l eve|si vit trois paveillons tendus pres de la rive;,si uoit trois paueillons tendus pres de la riuiere,e el agua hera fonda y negra|e desque fue çerca del agua vio tres tiendas çerca dela rribera,?|si en estoit laigue moult parfonde|& moult noire Nuant lancelos vint pres de laiglule|si y uit|iij|paueillons tendus,si era l acqua molta perfonda|e molto nera|E quand|e venne a l acqua|si vide tre padiglioni tenduti presso della riviera
1103	si en estoit li uns grans,si en estoit ung grant,e la vna hera muy grande,dont li vns estoit blans,si n era l uno molto grande
1104|1105	et bials|et li autre dui estoient moien,et blanc|et les autres deux estoient noirs,e muy fermosa|e las dos heran,et li autre doi moien estoient de autre color,e molto bello|e gli altri due minori
1106|1107	Et lors issi del greignor paveillon I|chevaliers tos desarmés,Et lors issist dun paueillen ung cheualier tout arme,mas pequeñas,Et lors issi del pauellon vns cheualiers tous armes,eAllora usci del padiglione uno cavaliere tutto disarmato
1108|1109	qui li dist|que bien soit il venus,qui lui dist|que bien soit il uenu,e luego|que ay llego lançarote vio salir dela mayor tienda vn cauallero desarmado quele dixo señor vien vengades,qui li a dit|que bien soit il uenus,che gli disse bene sia elli venuto
1110|1111	et il li rent maintenant son salu|Ha sire fet il vos me samblés chevaliers errans,Et il lui rent son salut|Beau sire uous semblez cheualier errant:,e lançarote le torno sus saludes buen señor dixo el cauallero dela tienda vosme semejades Cauallero andante,Et il li rent son salu|Biau sire ce dist li cheualiers del paueillon vous me sambles vns cheualiers errans,ed e' gli rende immantanente suo saluto|aHal|sire|disse il cavaliere del padiglione a Lancellotto|vo mi sembiate cavaliere errante
1112|1113	et je aim tos cels|qui en tel mestier usent lor vie,et iayme tous ceulx|qui en telle maniere usent leur uie:,e porque ya fue tiempo,& iaim tous chiaus|qui en tel maniere usent lor vie,e io amo tutti quelli|che in tale maniera usano lor vita
1114|1115|1116	kar je meismes sui chevaliers errans|et por ce vos vueil je proier|que vos herbergiés anuit mes o moi;,car moy mesmes suis cheualier errant|Et pour ce quil est temps de se hebergier uous censeille ie,que yo mesmo fui cauallero andante Ruego vos|que esta noche aluerguedes Conmigo,Car iou meismes sui cheualiers errans|et pour chou vous voeil iou proier|que vous vous herbergies hui|mais auec moi,ch io medesimo sono cavaliere errante|;|e i' vo vorrei pregare|che voi albergaste stanotte con esso meco
1117	kar se vos passés avant de ci vos ne troverois se forest non,,Ca si de aqui partides non fallaredes sino floresta muy yerma,Car se vous vous partes de ci vous ne trouueres hui,ché se voi passate di qui vo' non troverete oggimai se non foresta
1118	si salvages,,e saluaje,mais se fores non saluages,si salvatica
1119	que vos i porrois tost desvoier,que uous demour⟦e⟧z,que no fallaredes,si que vous y porrois bien foruoier,che vo potrete molto tosto disviare
1120	Et il est bien tens de herbergier ce veés vos bien :,,,Et il est pres del uespre,; ed egli è bene tempo d albergare
1121|1122	por ce vos lo|que vos remanois,,do aluergar esta noche,si vous lo|que vous remaignies,ciò vedete voi bene|: perciò vo lodo in buona fé|che voi rimagniate
1123|1124	et vos avrois ostel bel|et buen tot a vostre voloir,et uous aurez hostel tout a uostre uoulente,e poresto vosloaria|Que finquedes aqui esta noche,et vous el asulrois ostel tout a uostre uolente,e voi ci areste ostello buono|e bello|e tutto a vostro volere
1125	— Bials sire fet Lancelos,Beau sire fait lancelot ie demoureray,,iau sire fait lancelot,— Bel sire|disse Lancellotto
1126|1127	puis qu il vos plest je remaindrai|et por vostre proiere,puis quil uous plaist,e abredes muy buena Posada a toda vuestra voluntad buen señor dixo Lançarote yo fincare pues vos plaz Porvuestro Amor Pues dezides,puis que il vous plaist iou remandrai,e io rimarrò per vostro amore
1128|1129|1130|1131|1132|1133	et por ce|que vos dites|que vos estes chevaliers errans|a Lors descent|et vaslés saillent des autres paveillons|si le desarment,et que uous dictes|que uous estes cheualier errant|Lors descent de son cheual|et uarletz saillent des autres paueillens|si le desarment,Que fuistes cauallero Andante|e luego salieron delas tiendas escuderos Quelo desarmaron,Lors descentas Dde son cheual|Et uallet saillent des autres paueillons|si le desarment demaintenant,e per ciò|che vo' siete cavaliere erante come vo' dite|soAllor discende Lancellotto e' valletti salgono dell altro padiglione|si 'l disarmarono
1134|1135	et li aportent I|mantel de samit legier a afubler,et lui apportent ung manteau de samit pour affubler pour le chault,e desque fue desarmado Truxeronle vn manto de xamete,puis li aportent vn mantel de samit,e gli aportarono uno mantello di sciamito per afibiare
1136	por le chaut,,para cubrir Porla calor,por affubler,per lo caldo
1137	qui grans estoit a;,qui grant estoit,que façia grande,,che grande era
1138|1139|1140|1141	si le mainent el grant paveillon avec l autre chevalier|Et lors parlerent ensamble|et s entracointierent|et demanda li uns a l autre de son estre,Si le mainent au grant paueillon|lui|et le cheualier sentreacointerent|et demanda lun a lautre,e entonçe se entraron el cauallero|e lançarote enla tienda|e asentaronse|e començaron a fablar envno,et lors sen uont el grant paueillon entre lui|et le cheualier,si se ne vanno nel grande padiglione intra lui|e l cavaliere|; allor parlarono insieme|e si tracomandarono al domandare l uno a l altro di suo essere
1142|1143|1144	Li chevaliers enquiert a Lancelot|dont il vient|et ou il vet,dont ilz estoient:,e el cauallero le pregunto|e dixo señor,et cil li demande ou il aloit,si inchiede il cavaliere a Lancellotto|donde e viene|e dove e' va
1145	et quele aventure le maine,et quelle auanture le menoit,que auentura os lleba,,e quale aventura il mena
1146	si sol,si seul,asi solo,,si solo
1147|1148	et il li conte une partie de son estre|et autre l en çoile e;,Et il lui compte de son estre une partie|et lautre lui en celle:,e lançarote le conto toda su façienda enpero todavia le dixo,,ed e' gli conta una partita di suo essere
1149|1150|1151	et totes voies li dist|que en la cort al roi Baudemagu voldroit estre|por soi deffendre vers un chevalier,et toutesfois dit il|que en la court du roy bademagus uouldroit il estre pour ung cheualier,que yua ala corte del Rey bandemagus aque dixo el cauallero ame defender devn cauallero dixo lançarote,Et lancelot li dist quil volroit estre a la cort le roy baudemagu pour combatre a|j|cheualier,e una partita ne li cela|;e tutvorebbe essere per sé difendere verso d uno cavaliere
1152	qui l a apelé de traïson,qui lauoit appelle de trayson,que me Recto de traiçion|e ellos,qui lauait apele de traison,che apellato l à di tradigione nella corte del re Artù|Seln ciò
1153	En ce qu il parloient ensi orent li escuier mise la table,Et ainsi qu ilz parloient len mist les tables,asi fablando entro vn escudero|e puso la mesa,Et en chou quil a parloient ensi orent li escuier mises lez tables,che parlavano insi|ebbono i valletti messe le tavole
	,,e asentose el cauallero a comer,,
1154	si vont laver;,ilz lauent leurs mains,e lançarote,si vont lauer,:|si si lavarono lor mani
	,,,,e s asederono al mangiare intra l cavaliere
	,,e vna donzella muy fermosa,,
	,,que hera amiga del cauallero,,
1155|1156	si s asiet Lancelos|et li chevaliers,et puis se assient le cheualier|et lancelot:,mas la donçella en|quanto vido a lançarote|ansi lo cataua|que no se hartaua delo ver enque lo via tan fermoso,si sassistrent li cheualier au mangier,e Lancellotto
1157|1158|1159	et une damoisele|qui molt ert bele|et estoit amie al seignor de laiens;,et une damoiselle moult belle|laquelle estoit amie au cheualier de leans,e no cuidaua|que tan fermoso ome pudiese auer enel mundo,Et vne damoisele|qui moult estoit bele|qui estoit amie au cheualier de laiens,e una damigella|che molto fu bella|e avenante|e fresca|si era amica del signor di là entro
	,,,,si era ella molto gentile femina
1160	si mengierent tuit troi ensamble,Si mengerent tous trois ensemble:,e asi lo estaua catando,si mangerent tout|iij,i mangiarono tutti|e tre insieme
1161	mes cele,mais celle,que no podia comer,ensamble,e quella
	,,,,che Lancellotto riguardava tutto adesso
	,,,,non
	,,,,si può satollare di lui vedere
1162	qui Lancelot esgarde ne se puet saoler de lui veoir Kar tant li samble bials qu ele ne prisa onques mes bialté d ome envers cesti :,qui lancelot regarde laisse le boire,que auia el escudero tirado el primero manjar dela mesa|e ella no auia metido vocado enla voca,mais moult regarde la damoisele lancelot|et ne se puet de lui regarder saouler,ché tanto le sembia a essere bello|ch ella non pregia unque biltà d uomo inverso costui
	,,,Si ne prisa onques,
	,,,mais la biaute domme vers la soie,
1163|1164	si l esgarde|si viselment,et le mengier pour la grant beaute,e la donçella,Si le regarde|si ententieument,: isi llo sguarda|si visibilmente
	,,,que tout en laisse le boire,
1165	que tot en laisse le mengier n a autre chose n entent,que elle uoit en lui|si que a autre chose ne entent,asi lo catando començo a pensar tan fieramente|que no hera sino marauilla,& le mangier|si que a autre chose nentent,che tutto ne lascia suo mangiare|né ad altra cosa non ne intende fôrse a llui riguardare
1166	fors a lui remirer,,e ella,fors ca lui remirer,i tentivamente il riguardava
1167|1168|1169	Si ont li escuier osté le premier mes de sor la table c onques la damoisele n en tasta ains pensa totes voies|Et en cel pensé li descent el cuer une|si grant amor qu ele aime Lancelot outre ce,si ont les escuiers oste le premier mes|que encques la damoiselle nen tasta ains pensa a lancelot:|et en celle pensee lui descendoit une telle amour au cueur,ansi pensando cayo vn amor ensu corazon quelo començo|ansi a amar a lançarote,Si ont li escuier oste le premier mes|mais onques la damoisele nen gousta|Ains pensa toutes voies a la grant biaute lancelot|Et en celui pense li descendoit au cuer vne|si grant amor :|que elle ama lancelot outre chou,che gli scudieri ebbono levata la prima imbandigione|ch unque la damigella no ne saggiò|Slnsi pensa la damigella tuttavia|e n quel pensieri le|si ferma nel cuore uno sì grande amore|ch ella ama Lancellotto oltre ciò
	,,,,ché d altra vivanda avea presa a mangiare dond ella non
	,,,,si satollerà mica leggermente
	,,,,ciò l è aviso
	,,,,si farà s ella unque potrà
	,que elle ayma lancelot oultre,,,
1170	que feme n ama mes home;,que femme ne ayma oncques homme,que mas muger podia a ome amar,que femme nama onkes|si homme,che femina non amò mai uomo
1171	si li est avis,Si lui est auiz,e deçia entresi mesma,Si li est auis,i ll è aviso
	,,,,che se Dio
	,,,,che n à forza
	,,,,le consentisse
1172	que s il l amoit qu'ele seroit beneuree,que sil laymoit quelle seroit trop eureuse,que si la el quisiese amar|que se ternia porla,que sil lamoit|que elle seroit bone euree,ch elli l amasse|ch ella sarebbe in buon'or nata
1173	Mais ci endroit n em parole plus li contes lkar ça avant le devisera,Mais cy endroit plus nen parle le compte|car cy aprez le uous deuisera,mas bien auenturada muger del mundo|mas de,Mais chi endroit nen parole plus li contes,
1174|1175|1176	et comment ele l ama merveillosement|et comment ele le proia|et la merveille,et comment elle layma merueilleusement|et comment elle mourut pource quil la refusa Comment lancelot rescouist le frere du cheualier,como ella amo muy afincadamente a lançarote|e delas cosas,mais cha auant vous deuisera comment elle lama merueilleusement|Et comment elle li pria|et la meruelle,ché qua avanti vo diviserà com ella l amò maravigliosamente|e com ella ne 'l pregò|e richiese d amore|e le maraviglie
1177	que ses amis en fist,qui lauoit logie,que su amigo fiço,que sez amis en fist,che suo amico ne fece quand e' seppe
1178|1179	quant il sot qu ele l amoit|et comment cele morut,Et comment il se deffendist centre argondes,quando sopo|que ella tan desmesuradamjente lo amaua|e de|como ella murio,quant il sot|que elle lama|Et comment elle morut,ch ella l amava|e come elli la rifiutò
	,,quando supo,,
1180	por ce qu il la refusa tot ce vos trespassera li contes ci endroit,et puis alla a la douloureuse tour faire enterrer le corps de galle|iiii,que lançarote no la queria amar todo lo dexa aqui el Cuento de contar,por chou quil le refusa out ce vous trespassera li contes chi endroit pour deuiser vne autre auenture,e com ella ne mori
1181	por deviser une aventure qu il lor avint el paveillon ou il estoient,xx|xu,Por contar vna auentura|que les auino enla tienda,qui lor auint el pauellon ensi com vous orres,|che loro avenne nel padiglione ove egli erano
	,,,ANsi entendi la damoisele a regarder lancelot,
1182	Ci dist li contes que,LE compte dit,do estauan comiendo Dize el cuento,que onques ne manga|Et,Or dice il conto
1183|1184	quant il orent le secont mes eu es vos un chevalier armé d unes armes vermeilles|qui vint corant par devant le paveillon o grant compaignie de chevaliers,que quant ilz eurent eu le second mes uecy ung cheualier arme de armes uermeilles courant par deuant le paueillon a grant compaignie de cheualiers,que ellos estando comiendo|asi como vos digo he aqui|por do viene|por antela tienda vn cauallero convnas armas vermejas con gran conpaña de caualleros,tant que on dut seruir du secont mes :|Et quant il orent le secont mes es vous|j,che quando elli ebbono la seconda messa avuta|ed e' vidono uno cavaliere armato d un arme vermiglie
1185	Et cil as armes vermeilles,,e el Cauallero delas armas vermejas,cheualier arme dunes armes uermeilles,
1186|1187|1188|1189|1190|1191|1192	qui devant venoit entre el paveillon a|et voit|I|escuier|qui servoit a la table|si estoit freres al chevalier de laiens|Et il cort maintenant cele part,et il entra au paueillon|et uist ung escuier|qui seruoit a la table|qui estoit frere au cheualier de leans,que delante venia entro enla tienda|e vio vn escudero|que seruia antela mesa|e el cauallero enque lo vido fue contra el,qui vint corant par deuant le paueillon|& vit el paueillon|j|escuier|qui seruoit a la table|qui estoit freres au cheualier de laiens|Et il cort mainte nant,che davanti lor venne nel padiglione|;|e là ove vide uno scudieri|che serviva alla tavola ed era fratello del cavaliere di là entro|ed e' corre in quelle parti
1193	si le prent par les espaules,Il le prent par les espaulles,e tomolo porlos braços,si le prent par les espaulles,si prende lo scudieri per le spalle
1194	et le lieve devant lui sor l arçon de la sele,et le met deuant lui es arcons de sa selle,e pusolo antesi sobre el cuello del cauallo,& le met par deuant lui sor le col de son cheual,e lieva davanti lui sopra l arcione della sella
1195	si s en torne a tot,si sen ua atout,e salio conel dela tienda,si sen torne a tout,si se ne va con tutto lui broccando
1196	Et quant cil del paveillon voit ce,Et quant celui du paueillon uoit ce,e el cauallero quelo vio,Et quant li cheualiers del paueillon vit chou,'E quando il signor del padiglione vide ciò
	,,,,si isgrida a Lancellotto
	,,,,: Al
1197	si crie a Lancelot Ha bials sire je sui mors se cil enporte ensi mon frere,si crie a lancelot|Haa sire ie suis mort se celui emporte mon frere,ansi lleuar començo a dar vozes a lançarote ay señor muerto so|si asi me lleba a aquel escudero mi hermano,si crie a lancelot|Sire iou sui mors sil emporte ensi mon frere,bel sire|io son morto se que' ne porta insi mio fratello
1198	kar il l ocirra s il n est secors:,car il loccira sil nest secouru,Ca lo matara|si lo no acorredes,quar il locirra sil nest secorus,ché l uccidrà se nonn è soccorsol
1199|1200	si vos pri|por Dieu,Si uous prie pour dieu,e porende vos Ruego|por dios,Si vous pri pour dieu,Si vo priego|per Dio
1201	que vos i metés paine,que uous mettez paine a le secourir,que me ayudedes alo cobrar,que vous metes paine en lui rescorre,che vo' vi mettiate pena in lui riscuotere
1202	Et Lancelos saut de la table,Et lancelot sault hors de la table,e lançarote salio|luego dela mesa,,
1203|1204|1205|1206	et demande ses armes|et I|escuiers vint avant|si li dist Par foi sire vos armes,et demande ses armes|et ung escuier uint a lui|et lui dist|Par ma foy sire uoz armes emportent il,e pidio sus armas a vn su escudero|Que y estaua le dixo señor|Por buena fee el cauallero vos a hecho llebar vuestras armas,si demande ses armes LEt vns escuiers vint a lui|si li dist Par foy sire vos armes,e domanda sue armi|e uno scudiere viene avanti|che gli disse|Per fé|vostre armi
1207|1208|1209|1210	et vostre cheval enmainent il ! — Voire fet il|par mon chief ja|por ce ne remaindra|que je nes sieve,Par mon chief pour ce ne ne demourra il pas|que ie ne le suiue,e vuestro cauallo pormi cabeza dixo lançarote ni|por eso non fincara quelo non siga,et vostre cheual enmainent il voire fait il : par mon chief|por chou ne remandra il mie|que ams iou ne lez sieue,e vostro cavallo ne mena elli|— Vere|diss elli|per mio capo|già per ciò non rimarrà|ch io nol seguiti
1211	,Et lors sault hors du paueillen,e luego salio lançarote dela tienda,Et lors sen ist hors del paueillon,Allor va fuori del padiglione
1212|1213|1214	et li chevaliers o lui|et il esgarde cels|qui s en vont,et le cheualier auec lui Ilz regardent ceulx|qui sen uont,e el cauallero conel|e vieron yr los caualleros pasando el agua Porvna puente de madero señor dixo lançarote al cauallero fincad vos aqui no fare dixo el,et li cheualiers aueques lui|et il regarde chiaus|qui sen vont,e l cavaliere con lui|ed e'risguardano quelli|che se ne vanno
1215|1216	qui ja avoient passé l eve par J|pont de fust;,qui auoient ia passe leaue par ung pont de fust,mas antes yre con vos|fasta que falledes quien vos de armas,qui auoient passe laigue par|j|pont de fust,che già avieno passato l acqua per un ponte di legno
1217|1218	et Lancelos demande al chevalier s il remaindra|Sire fet il nenil ains vos ferai compaignie,Lancelot demande au cheualier sil demourra|Sire fait il nenny ains uous feray compaignie,e cauallo enque sigades el cauallero,Et lancelot demande au cheualier sil remandra Sire fait il nenil ains vous tendrai compaignie,Pe Lancellotto domanda al cavaliere s elli rimarrà|ed|anzi|vo farò compagnia
	,,,,e dice
	,,,,Sire
	,,,,non
1219|1220	tant que nos aions trové|qui armes vos baut,tant que uous aiez trouue|qui armes uous baillera,Luego se començaron de yr,tant que vous aies troue|qui armes vous volsist baillier,tanto che noi troviamo chi armi vo doni
1221|1222	Lors acueillent lor voie tot a pié|et vienent au pont,Lois uiennent au pent tout a pie,e andubieron tanto fastaque llegaron ala puente de madera,Lors acoillent lor chemin droit au pont,Allora accolgono lor camino tutto a ppiè|e vengono al ponte
1223	si passent outre,et passent oultre,e pasaronla,& passent outre,si passano oltre
1224|1225	et s adrecent a I|tertre par ou li chevalier s en vont;,et se adrecent a ung terte par ou les cheualiers uont,e fueronse contravn otero|Por do los caualleros se yuan,Et sadrecent a vn tertre par ou li cheualier vont,e s adirsizlano al poggio per dove il cavaliere se ne va
1226	si n ont gaires alé,Si ne ont gaires alle,e lançarote,Si nont gaires ale,
1227|1228	quant il encontrent I|chevalier armé d unes armes noires,quant ilz encontrent ung cheualier arme dunes armes noires,e el cauallero fueron tanto enpos ellos fastaque encontraron vn cauallero armado devnas armas negras,quant il ont encontre|j|cheualier a vnes armes noires,Si non ebbono guari andato quando elli incontrarono uno cavaliere a une armi nere
1229|1230	qui venoit al pont par I|chemin de travers,,que venia ala puente porvn sendero pequeño altrabes,qui venoit au pont par|j,che vlenlia al ponte per uno camino di traverso
1231|1232|1233|1234	Et quant il voit Lancelot|si s areste|por ce|que bien le conoissoit,Quant il uist lancelot il se arresta pource qu il le congnoissoit bien,e quando el vio a lançarote|luego lo conoçio,|Et quant il vit lancelot|si sarreste|por chou quil le connut bien,E quand e' vide Lancellotto|si si arestò per ciò|che ben lo conosce
1235	si li demande ou il vet ensi a pié tos desammés,et lui demanda ou il alloit ainsi a pie tout desarme,e estovo quedo fastaque llego,Si li delp tis clmande ou il aloit ensi tout a pie|et desarmes,si gli domanda ov elli va insi a piede|e tutto disarmato
1236|1237	Qui estes vos sire chevaliers fet Lancelos|qui me demandés ou je vois,Quest ce fait lancelot demandez uous ou ie uois,e dixole señor|do ydes|asi de pie|e desarmado,Mui estes vous ls tezel fait lancelot|qui me demandes ou ie vois,PeChi siete voi|disse Lancellotto|sire|che mi domandate ov io vò
1238|1239	? — Je sui fet il I|chevaliers d estrange païs,Oy sire|si suis ung cheualier destrange pais,e quien sodes vos dixo lançarote yo so dixo el vn cauallero destraña tierra,Iou sui Ofait il vns cheualiers destrange pais,|diss elli|uno cavaliere di stran paese
1240|1241	mais molt me merveil de ce|que je vos voi ensi aler,qui moult me merueille de uous uoir aller ainsi,que mucho me marauillo|porque vos veo yr,qui moult mesmerueil de chou|que iou vous voi ensi aler,che molto mi maraviglio di ciò|ch io vi veggio insì andare
1242	Et Lancelos li conte comment il estoit herbergiés,Et lancelot lui compte comment il estoit hebergie:,,Et lancelot li conte comment il estoit herbergies,
1243|1244	et comment I|chevaliers vint laiens ou il menjoit,et comment ung cheualier uint la ou il mengoit,asi e apie|e lançarote lo conoçio,et comment li valles fu pris,e come uno cavaliere venne là entro ov elli mangiavano
1245|1246|1247|1248	qui prist a force I|vaslet|et le mist sor le col de son cheval|Et encore m a il plus meffet fet Lancelos,qui print a force ung uarlet|et le mist sur le col de son cheual|Et encores y a il plus fait lancelot,e començole a contar|como el cauallero lo aluergara|e como el otro les llebo el escudero,et sez armes|& ses cheuals emportees,e prese uno scudieri a forza davanti noi|e l mise sopra l collo di suo cavallo|e ancor m à elli più misfatto|disse Lancellotto
1249	kar cil,car ceulx,que ala mesa seruia afuerça ençima del cauallo,,ché quelli
1250|1251	qui avec lui vindrent enporterent mes armes|et enmenerent mon cheval a —,qui auec luy sont emportent mes armes|et emmainent mon cheual,e como le fiço llebar sus armas,,che con esso lui venono ne portano mie armi|e ne menano mio cavallo
1252|1253	Quel guerredon fet cil porroie je atendre de vos se je|por vos me desarmoie,quel guerdon fait celuy pouroie ie auoir de uous se ie me desarmoye,Que galardon me daredes dixo el cauallero,Quel guerredon fait cil porroie iou de vous atendre : se ie|por vous me desarmoie,—E quale guiderdone potre io di voi atendere|s io per voi mi disarmasse
1254	et vos bailloie mes armes,et uous bailloie mes armes,si vos diese mis armas,& vous bailloie mes armes,e vo donasse mio cavallo|e mie armi
1255|1256	et mon cheval|? — Certes fet Lancelos tel com vos deviseriés,et mon cheual|certes fait lancelot: tel comme uous deuiseres,e mi cauallo porçierto dixo lançarote tal qual vos supieredes deuisar,et mon cheual|Certes fait lancelot tel comme vous deuiseres,? — Certo|sire|disse Lancellotto|tale come diviserete
	,,,,—
	,,,,e vo'
1257|1258	— Se vos fet il el premier lieu ou je vos troverai armé|por que je soie desarmés me creantés a doner vos armes ¡e vos bailleroie les moies,se fait il au premier lieu ou ie uous trouueray arme me promettes a bailler uos armes ie uous bailleray les miennes Certes fait lancelot,si vos me juraredes dixo el Cauallero|que enel primer lugar|que vos fallare armado|e yo fuere desarmado me dedes vuestras armas yo vos dare estas mis armas,Se vous fait cil el premier lieu ou iou vous trouerai arme me creantissies a baillier vos armes Iou vous bailleroie lez moies Certes fait lancelot volentiers par ensi,disse il cavaliere a l arme nere|nel primaio luogo ov io vo troverò armato per|ch io sia disarmato mi volete dare vostre armi|e ciò mi volete impromettere
	,,,,io vo donerò le mie
	,,,,che molto sono buone
	,,,,e difensaboli
1259|1260	— Certes fet Lancelos|si ferai je,si feray ie pour,e mi cauallo Muy de grado dixo lançarote ental,,— Certo|disse Lancellotto|si farò io
1261	por que vos ne me truisiés combatant,tant que uous ne me trouues combatant,que me non falledes conuatiendo,que vous ne me truisies combatant,purché voi non mi troviate combattendo
	,,,,E que' dice
	,,,,che si
1262|1263	Et cil descent maintenant|si se desarme,et celuy deschent maintenant sy se desarme,e luego selo juro|entonçe desçendio el cauallero desu cauallo|e desarmose,Et cil descent maintenant|si se desarme,dic elli|e Lancellotto gliel promette immantanente a donare|sImmantanente discende il cavaliere|e disarma
1264	et baille a Lancelot tot son hernois,et baille tout son harnois a lancelot,e dio todas sus armas|e su Cauallo a Lançarote,& baille a lancelot tout son harnois,e dona a Lancellotto sue armi|e suo arnese
1265	et il s en appareille,et il sen appareille,e Lançarote se armo,Et il sen appareille tout maintenant,ed e'se n aparecchia
1266	et monte en son cheval,,e subio enel cauallo,et monte sor le cheual,si monta in suo cavallo
	,,,,poscia dice a suo oste
	,,,,ch elli
1267|1268	puis dist a son oste qu il s en retort; Imes il dist|que non fera,,e dixo asu huesped|que se tornase No fare dixo el huesped,& dist a son oste quil sen retort,si ritorni|e que' dice|che non farà
	,,,,Si farete
1269	Si ferois fet Lancelos a lar je conoistrai bien les armes a celui,,si faredes dixo lançarote|que yo conoçere vien el cauallero enlas armas,quar iou connistera bien lez armes a celui,disse Lancellotto|ch io conoscerò bene l armi di colui a cui io vo cheggendo in quale
