a	b	c	d	e
2708|2709|2710|2711	si ai demoré en tel dolor pres deXII|ans|que onques n i menjai autre chose|que pain	Si ai demore en tel dolor|et en tel destrece plus de|iiij|ans|que onques ni mangai ne ne bui fors pain	e ouieron muy gran batalla|ca los leones lo ferian conlas vñas y le Ronpian la loriga|por muchos lugares	: esi ò dimorato in tal dolore più di dojdilci anni|che unque non ò mangiato se poco|né altra cosa|che pane	si y ay demoure en tellemaniere|a en ceste doulleur plus de|xii|ans|q̃ oncques ne mẽgay fors pain
2712|2713|2714	et eve|Si vos ai ore contee la maniere|por quoi je fui mise la ou vos me trovastes	& aigue tant seulement|Or vous ai iou conte par|quel raison iou fui mise en prison	e le fazian muchas llagas|por do le salia mucha sangre	e acqua|Si vo ho ora contato la maniera per|che io fui messa là ove voi mi trovaste	et eaue|si uoꝰ ay cõpte la maniere cõment ie feuz mise la ou uous me trouuastes
2715	Or redites a moi s il vos plest	Si vous pri|que vous me dites sil vous plaist		asOr vo priego|per cortesia	si uoꝰ prie q̃ uous me dies uostre nõ
2716	qui vos estes	qui vous estes	mas estor	e per vo cognoscere|che vo' mi diciate chi vo' siete	et qui uous estes
2717|2718	et comment vos avés non|kar molt le desir a savoir	& comment vous aues non|quar moult le desir a sauoir	como hera de gran fuerça	e come voi avete nome|ché molto el disidero a sapere	car monlt le desire a sa¬ uoir
2719	Et il dist qu'il a non Hestor	Et il li dist|que on lapele hector dez mares		Ed e' dice|ch egli à nome Astor di Mare	⁊ il dist quit a anom hector
2720|2721|2722|2723|2724|2725|2726	et est de la maison le roi Artu|et compains de la Table Reonde|Voire fet ele|que vos soiés li bien venus|puis que vos estes de la maison le roi Artu ! Or cuit je bien|que vos me dirois noveles d un chevalier|qui ausi en est	et quil est de la maison le roy artu|& compains de la table roonde; oire fet la dame|que vous soies li tres bien uenus|puis que vous estes y de la maison le roy artu|Or quit iou bien fait la dame|que vous me salulries bien a dire noueles dun cheualier quir est aussi de sa maison se vous volies	e de gran corazon comenzolos a ferir tan deReçio con su espada tajante|que quanto alcançaua dellos a diestro y a siniestro todo lo cortaua|asi que en poco de ora los fizo todos pedaços|e despues	ed è della magione del re Artù|e compagno della Tavola Ritonda||diss ella|che vo'siate el trasbenvenuto poscia|che voi siete della magione del re Artü|; or credo io bene|che vo' mi direte novelle d uno cavaliere|ch altresi n è	et quil est de la maison du rop artus cõpaignõ de la table ronde|uoire fist elle uous soyes le bien uenu puys q̃ uous estes de la maison du rop artus Mrcuide ie biẽ|que uoꝰ me dires nouuelles de uns cheualier qͥ en est aussp
2727|2728|2729	— Coment a il non|? fet Hestor|— C est fet ele mesire Lancelos del Lac	que on apele lancelot del lac	que ouo muerto los leones estor entro enla cueba	— Come à elli nome|?|disse Astore|ciò è monsignor Lancellotto de Lac	cõmẽta il nom fait hector|il a a nõ dist ellelancelot du lac
				— Sire	
				diss ella	
		Par mon chief dame fet hectors			
2730	— Par foi fet il de lui ne vos	de lui ne vous sauroie iou riens		— ePer fé|diss elli	Par ma fop disthector de tuy ne uoꝰ scairoye ie pas bien assener
2731	puis je mie assener lar a cort n en set l en riens ains sumes	que dire|Car a la cort monseignor le roy artu nen set on riens		di lui non vi posso assenare|ché a corte non ne sa l uomo nulla	car en court ne en scait len riens
		Car nous sommes esmeu			
2732|2733	por Iui meu jusqu a XIII|chevaliers	por lui querre iusques a|Xiij compaignonz	e saco ala señora del castillo dende	Anzi|ne siamo mossi per lui chiedere in tutte terre infin qua tredici cavalieri	Ains sõmes meuz plus de|xiii|cheua
		& tout de la table roonde			
2734|2735	qui jamés ne retornerons en la cort le roi Artu devant|que nos sachons s il est mors ou vis	qui en cest an ne reuenront a cort deuant chou quil en salulront vraies noueles sil est mors ou uis	que estaua y presa y la guardauan aquellos dos leones y lleuola al castillo suso y ella selo agradeçio mucho y preguntole quien hera	che giamai non ritorneremo a corte davanti|che noi ne sapiamo veraci novelle s egli è morto o vivo|— al	liers qͥ iames ne retournerõs a couit tãt q̃ noꝰ en apons ouys uraies nouuelles sil est mort ou uif
2736|2737|2738	— Bials sire fet ele ou est il donques|?|Et il li conte les noveles tot ensi com la roine les avoit dit a la cort;	ha : fait la dame Biaus douls sires comment puet chou estre|Et hector li conte lez noueles tout ensi comme la royne les auoit comptees a la cort	porque supiese deçir quien la librara y el la dixo	bel sire|diss ella|e ove este elli dunque|?|EAstore ne le conta tutte le novelle insi come la reina l avea dette a corte|;	Beau sire fist elle ou est it donques|ct Seconde il luy cõpte tout aĩsi les nouuelles cõmẽt la ropne les auoit dictes a la court
2739|2740	et quant cele les ot|si se pasme	Et quant elle lentent|si pleure moult tenrement	que hauia nombre estor	e si tosto com'ella lo ntese|si spasimò	⁊ quãt elle le sceust|si se pasme
2741|2742|2743|2744|2745	et dist Ha lasse|quel damage s il est mors ! Jamés|si preudom ne morra Lors commence trop grant duel a fere a|et Hestor li demande de quoi ele le conoissoit|Sire fet ele je nel conois mie de veue lkar	Et dist ha: lasse|quel damage|& quel dolour sil est mors|Iamais|si prodom com il fu ne morra|Et hector li demande de coi elle le connissoit|Et elle dist|que elle ne le connissoit fors|que de veue tant seulement	e que hera de casa del Rey artur|e que andaba en busca de don lançarote el y otros caualleros	e disse|Al|lassa|qual damaggio s egli è morto|! Giamai|si produomo non morràl|Allor comincia uno troppo grande duolo a fare|sicché Astore se ne maraviglia tutto|si lla domanda di|che ella il conoscea|eSire|diss ella|i' no'llo conoscea mica di niente	puis dist|Haa q̃l dõmage sil est mort iames aussi preudõme ne mourra|Et hector lup demade de quoy ellele cõgnoit Sire fait cile ie le cõgnois biẽ de ueue
		Car onques			
2746	puis qu il otI	puis que il ot ij	e dixo ella	ché|poscia	
2747	mois passés ne le vi je	mois passez ne le vi		ch elli ebbe due mesi passati|nol vidi io mica mai	
2748	et si est il mes cosins germains	et si est il mes cousinz germains		e si è elli mio cugino carnale	etsp est mõ cousin germain
		mais on men a			
2749	Mais l en m en a tant conté en la prison ou j estoie	puis tant de noueles contees|la ou iou estoie en prison		Ma l uomo me n à poscia tanto contato nella pregione medesima dov io era	⁊ ma len tant compte de luy en la prison ou ie estoye
2750	que je savoie bien qu il estoit vis	que iou sauoie bien quil estoit uis		ch io sapea bene|ch egli era uno de' più produomini del secolo	que ie sauoie biẽ quil estoit uif
2751|2752	et por la grant proesce|que l en m avoit dite de lui l amoie je plus	& por le tres grant prouece|qui estoit en lui lamoie iou plus		e per la grande prodeza|che in lui era l amav'io più	⁊ pout la grãt prouesse qͥ estoit en luy ie lamoir plus
2753|2754|2755|2756	que home del monde|— Comment le vos disoit l en|? fet Hestor|Ja ne pooit l en a vos parler fors par les lions! —	que nul homme viuant|Name fait hector comment le vous disoit on|ia ne pooit on parler a vous as Dfors par lez|ij		che huomo del mondo|— Come el vo disse l uomo|?|disse Astore|Già non potesse l uomo a vo' parlare se non per la via de' leoni|? —^ eire	que tous les hõmes du mõ de|Cõment le uoꝰ disoit len fist hectoron ne pouoit parler a uous fors ꝑmp les lyons:
		Iyons			
		que iou ai ocis Sire fait la dame			
2757	Si pooit iet ele bien	si pooit bien		diss ella|si potea	si pouoit fist elle
2758|2759	kar il i avoit une autre entree par ou cil venoient|qui m'aportoient a mengier	quar il y auoit vne autre entree|par ou cil uenoient|qui maportoient a mangier	que hera su prima cormana de don lançarote	ché v avea una altra entrata per|donde quelli venivano|che m aportavano da mangiare	car il y auoit une auitre en tree par ou ceulx uenoient qͥ me apportoiẽt a mẽgier
2760|2761|2762|2763	—|Et comment pooit il estre vostre cosins|? fet Hestor|— Sire fet ele ma dame ma mere fu suer germaine le roi Ban de Benovc;	Dame fet hector|& comment pooit il estre vostre cousins germainz Sire ce dist la dame|Madame me mere|si fu suer au roy ban de benoyc son pere	como fue eso dixo estor yo voslo dire dixo ella sabed|que mi madre fue hermana de Ruiban de benoit su padre de don lançarote	— E come poteva elli essere vostro cugino|?|disse Astore|il vo dirò|leMiadama mia madre fu serocchia del re Bando di Benoic su' padre	? Cõment fit hectorpouoit il estre urẽ cousin|par ma foy fist elle ce uoꝰ diray ie bien Ma dame de mere fut seur au toy ban de be¬ noic son pere
				— Per fé	
				diss ella	
2764	si le maria li rois en ceste terre	si lamena li roys bans en ceste contree	e caso conel Rey de aquesta tierra	; il re silla maritò in questo paese	si la maria en ceste terre
		& en ceste terre ou nous sommes			
2765	mais ele ne vesqui mie longuement lar ele morut dedens les J	mais elle ni uesqui mie moult longement|Car elle morut dedens lez premsilers	que fue mi padre y no viuio		mes el le ne uesqͥst pas longuemẽt|car elle mourut dedens les
2766|2767|2768|2769|2770	premiers ans|si que je n avoie|que demi an|quant ele trespassa de cest siecle|Et aprés sa mort ne vesqui mes peres c un an;	ij|ans|que elle y uint|Si que iou nauoie|que demi an|quant elle trespassa de chest siecle|Et apres sa mort ne uesqui mes peres que|vij	mas de dos años|e yo finque de medio año|e mi madre no viuio|mas de siete años	ch ella mori di dentro in due anni|ch ella ci venne|sicché io nonne avea|che di mezo anno quand ella trapassò di questo secolo||non visse mio padre|che uno anno	ii|ans quelle y uint|Et apres sa mort ne uesquist mõ pere q̃ ung an
		ans			
2771	et par ce perdi je tote ma terre fors cest chastel:	Et par chou perdi iou tote ma forche|& toute ma terre fors seulement cest chastel	e por|que finque tan pequeña perdi toda mi tierra saluo este Castillo	e perciò perdei io tutta mia terra|fòrse questo castello	Et par ce perdis ie toute ma terre fors cechastel
2772	si fuisse je haute dame se mes peres vesquist	Si fuisse iou moult riche se mes peres uesquist|& haute femme	e yo fuera asaz de Rica y de alta dueña	:|si fosse assai alta dama se mio padre fosse vivo	si eus¬ ses ie este asses riche se mon pere eust uesquu:
2773|2774|2775	mais il morut|si tost|que puis en ai esté povre	mez|puis quil fu mors ai iou este moult poure	si mi padre viuiera|mas desque el murio soy yo asaz pobre	ma|e mori|si tosto|che poscia n ò io stata povera	et asses haulte dame
2776|2777	et deseritee Molt firent la nuit grant joie tuit cit del chastel|et molt ot grant luminaire par tote la vile a	et toute desheritee|nsi conta la damoisele a hector toutes sez auentures|Et hectors dist a Ula dame|que por lamor de lancelot le pooit elle prendre pour son cheualier toutes lez fois	e deseredada mucho fizieron gran honrra	e diseritata|es||e molto v ebbe gran luminara	Mõltfirẽt la nupt grãt ioye tous ceulx du chastel
2778|2779	Et Hestors dist|que por l amor de Lancelot le puet ele prendre comme son chevalier	que elle volroit|en|quel lieu|que il fust	e alegria a estor aquellos del castillo y dixo estor ala dueña del castillo señora vos me podedes tomar porvuestro cauallero	; ed Astore disse alla dama che|per l amore di monsignor Lancellotto|el può ella prendere come suo cavaliere	
				ed ella ne l merceda molto	
2780|2781	et ele l en mercie molt Cele nuit fu Hestor bien herbergiés|et aaisiés de totes les choses	Et elle len mercia moult doucement|Cele nuit fu hectors bien herbergies|& aaisies de toutes lez choses	Por amor de don lançarote del lago y ella selo agradeçio mucho aquella noche fue estor muy bien seruido de todas aquellas cosas	Quella notte fu Astore bene agiato di tutte le cose	Celle nuyt futhec torbien aise
		que on pooit en lostel auoir			
2782|2783|2784	que l en cuida|qui bones li fuissent Al matin|si tost com li jors apparut se leva	que on quida|que boin li fust|Et au matin|si tost com li iors apparut se leua	que pudieron hauer y otro dia de mañana leuantaronse y estor oyo misa	che l uomo credette|che buon gli fossono||si tosto come il giorno apari|si levò	ct au matin|si tost q̃ le iour appa¬ rust|si seleua
2785	et vesti ses armes aprés ce qu il ot messe oie	& appareilla de sez armes al mife lx|que il pot		e vesti sue armi apresso ciò|ch elli ebbe udito messa	⁊ se appareilla|et se arena apres ce quit eust oupela messe
				Poscia	
2786	puis se parti de laiens	& si tost comme il ot oy messe se parti il de laiens	e despues armose	si parti di là entro	puys se partist de le ans
			e despidiose dela señora del castillo		
2787	et se remist en son chemin ausi comme le jor devant	& se remist en son chemin tout autressi comme il auoit fait le ior deuant	e de toda su compaña y enComendolos a dios y metiose en su camino|como ante hauia fecho	e si rimise in suo camino|altresi come el giorno davanti	et se mist en son chemin tout ainsi cõmẽt il auoit fait le iour de deuãt
2788|2789|2790	Mes atant laisse ore li contes a parler de lui|et retorne a mon seignor Vvain|LXVIII	Mais atant laisse li contes ore a parler de lui	mas agora dexa el Cuento de fablar del y dela señora del Castillo y torna a don iban	|e ritorna a parlare di monsignor Yvano	Mes a tant lesse oirs le comple a parler deluy ct de la damoy selle|et retourne a parler de mõsieur puain|Cõment messire yuain fist rendre a la da moy selle son espreuier|et cõe il demoura ma¬ lade a la chappelle du mont
2791|2792	L|Or dit li contes que	& ressres cltorne a parler de monseignor yvain Chou dist li contes	por contar delo quele hauino Agora dexa el Cuento de fablar de estor y torna adon yban Agora dize el Cuento	Or dice el conto che	E|xi
2793	quant mesire Yvain se fu partis de ses compaignons	que quant messires ywains se fu partis de sez compaignons	que quando don yban se partio de sus compañeros	quando monsignor Yvano|si fu partito da suo' compagnoni	E cõpie dist q̃ quãt mõsieur yuai
2794	si com li contes a devisé qu'il erra lll	si com li contes a deuise quil erra|iiij	ansi como el quento lo a deuisado	si come el conto à divisato|ch elli andò iii	l se fut pti de ses ꝯpaignõs: il erra
2795|2796	jors entiers sans aventure trover|qui a conter face	iors entierz sanz K Aauentures trouuer|qui a conter face	que andubo quatro dias sin auentura fallar	giorni interi sanza aventura trovar|ch a mentovar faccia	¶
				Al quinto giorno	
2797	Al quint jor li avint endroit prime qu il entra en une forest	Au quint ior endroit prime cheualchoit vers vne forest		gli avenne in diritto prima|ch elli venne verso una foresta	iiit
2798|2799|2800	et il osta son hialme|por le chaut|qui ja estoit commenciés	si auoit oste son heaume|por le caut	que de contar fuese y al quinto dia le auino	si ebbe tratto suo elmo per lo caldo|che già era cominciato	iours ẽtiers sãs aduãture trou uer|au|u|il uint uers une foiest:
2801|2802	Lors encontra sor un palefroi pumelé une damoisele|qui chevalchoit tote sole; il la salue	Et lors encontra vne damoisele sor vn palefroi	que yendo porla floresta tiro su yelmo porla gran calura	Allora incontra per me' l camino una damigella|bella|si cavalcava tutta sola|: e' la saluta	et encontre sur ung palleffrop une damoyselle qͥ cheuau choit toute seulle
				e gente	
				sopr un palafreno pomellato	
2803	quant ele l aproche			si tosto com ella apressima di lui	il la sallue
2804|2805	et ele lui autresi;|mais tantost com ele l apercut	& il le salue|et elle lui tout en SOSriant	que fazia y entonçes encontro vna donzella	ed ella altresi lui||che lla vide sorridere	et elleluy|mes tãtostcõe elle le apperchoit
				coninciò a soridere molto dolcemente	
				; se monsignor Yvano	
2806|2807|2808|2809	si commence a sosrire|et il se pense|que por noient ne rit ele pas|si li distDamoisele par la rien	Et il pense|que por noient nauoit elle mie ris|Si li dist damsoisele par la foy	que venia sola envn palafren y|quando llegaron çerca el vno del otro saluaronse ambos y la donzella se començo de Reir y don yban la Rogo quele dixese	si propensa|che per niente non soride ella passo|sille disse|A|!|damigella|per la cosa	si cõmẽce a cire:|⁊ il se pense q̃ pour neant ne auoit elle pas rie
		que vous deues a la riens el mont			
2810|2811|2812|2813|2814|2815	que vos plus amés dites moi|por quoi vos riés se vos le poés dire ne devés|— Je le vos dirai fet ele se vos me donés l|don|qui assés poi vos grevera|— Certes fet il je le vos doing	que vous plus ames dites moi porcoi vous aues ris se vous le poes faire ne deues|Iou le vous dirai fet elle se vous me donse tes alnes|j|don lnIes c|qui asses petit vous coustera|Certes fet il|& iou le vous otroi	porque se Reia y la donzella le dixo yo voslo dire|si me dieredes vn don|que poco vos costara muy de grado dixo don yban yo voslo	che vo più amate|diteme|se vo piace|perché vo' ridete|se voi el potete dire o dovete|— Il vo dirò|dis ella|se vo' mi donate uno dono|ch asa|? poco vo graverrà|— Certo|disse monsignore Yvano	Si luy dist mõsieur puain damopselle ꝑ la riens eu mõde q̃ uous plus ames dictes moy pour quoy uoꝰ riez|ie le uoꝰ dirap fait elle se uoꝰ me dõnes ung don|certes fait il uoullẽ¬ tiers
2816|2817|2818|2819	|Et je vos dirai fet ele ce|que vos me demandés|ll est voirs	Dont le vous dirai iou fait elle|& lors li l fu voirs fait elle	do Pues agora vos lo dire dixo la donzella lo|que me demandades sabed	il vo dono dibuonariamente|— E i' vo dirò|diss ella|ciò|che vo' mi domandate|: egli è vero	la dameyseile lni dit
2820|2821	que je trespassai ore par devant I|paveillon	que iou trespassoie par deuant j|paueillon orendroit Ta loriere de ceste forest	que yo pasaua porante vna tienda	ch io passai oraindiritto per davanti uno padiglione	ie passoie p deuãt ung paueillon
2822|2823	qui est ça avant a l entree d une forest;|si avoit dedens I chevalier	qui ci deuant esta|Si y auoit|i|cheualier	que esta aca adelante ala entrada devna floresta enla qual estaua vn cauallero consu amiga	ch è qua avanti all entrata d una foresta|si vi vidi di dentro uno cavaliere	qui est en ceste forest|Siy a|uoit ung cheualier
2824|2825|2826	et s amie|et je m arestui|si oi	& samie|et iou|si marestai|& oy	e yo detubeme vn poco|e oy	e sua amica con lui|; 'ed io m arestai|si udi	⁊ samie|⁊ ie me arrestay
2827|2828|2829|2830|2831	que la damoisele li demanda combien il feroit en l|jor|por li|et il dist qu il ne passeroit hui par devant le paveillon chevaliers ne damoisele|dont il ne li donast le cheval	que la damoisele li demanda combien il feroit|por li|Et il dist quil ne passeroit hui cheualier ne damoisele deuant Io le paueillon|dont il ne li rendist le cheual	que le dixo ella don cauallero|que faredes vos pormi amor yo fare tanto|que no pasara|por aqui donzella aque no tome su palafren y lo dare avos eso vere yo dixo ella entonçes pase yo porla tienda y	che lla damigella gli domandò come bene e'farebbe uno giorno per lei||che farebbe|tanto che non passerebbe oggi per davanti lui cavaliere né damigella dond elli no lle donasse el cavallo	si ouy q̃ la damoisetle lui demanda cõbien il fe roit pour elle en ung iont|Et il fui dit quil ne passeroit hup par deuant son paueillon cheua lier ne damoiselle de qͥ il ne fui dõnast le che|ual
2832|2833	et ele dist|que ce voloit ele bien	Et la damoisele dist|que chou voloit elle bien		; ed ella li disse|che ciò volea ella bene	Et elle lui dit q̃ ce uouloit elle bien
2834	Et en ce	Et en chou		E n ciò	⁊ aĩ¬
2835	que je passoie outre il sailli avant	que iou passoie outre sailli auant li cheualiers		ch io passava oltre|elli sali avanti	si q̃ ie passoie oultre il sailsist auãt
2836|2837	et me volt tolir mon cheval;|et tolu le m eust il se la damoisele ne fust	et me volt tolir mon palefroi|Et tolu le meust|se ne fust la damoisele	quando el Cauallero me vio salio ami y tomome este palafren saluo	e mi volle torre mio cavallo|;|e l m avesse tolto|se lla damigella non fosse	⁊ me uou¬ sut oster mon cheual|⁊ le meust tollu se neust estela damoiselle:
2838|2839	qui le me commanda a rendre|Et quant je m en partis	qui li commanda quil le me rendist|Et iou li dis|quant iou men partis	que ella melo dio y partime dellos pero dixe al cauallero	ma ella gli comandò|ch elli me I rendesse|	car elle com mada qͥl le me rendist
2840|2841|2842	si dis al chevalier|que tels i porroit venir|qui bien le feroit menteor de sa vantance	que telx y porroit uenir|qui le feroit menteor de sa uantance	que tiempo podria venir quelo faria mentiroso desu promesa y el me dixo	si disse al cavaliere|che tale vi potrebbe venire|ch elli el farebbe bene mentire di sua vantanza	Et qu ant ie men partis ie dis au che¬ nalier q̃ tel pourra uenir illec|qui le fera men teur
2843|2844	et il me dist|que j'en feisse tot mon pooir	Et il me dist|que iou en fesisse tout mon pooir	que fiçiese todo Mi poder	; ed e' mi disse|ch io ne facesse tutto mio podere	Et il me dist q̃ ie en feisse tout mon pou oir
2845	et je dis	Et iou li dis	e yo le dixe	e io dissi	
2846|2847	que si feroie je|si m en parti atant	que si feroie iou|si men parti atant	que ansi lo faria y poresto	che si farei io|si me ne parti' atanto	Ei men partis atant
2848|2849|2850|2851|2852	Et tantost com je vos vi vos conui je bien|Si commençai i a sosrire|por ce|que je savoie bien|que vos l en porriés bien fere mencongier se vos voliés	Et si tost comme iou vous vi|si commencha a rire|Car iou soi bien|que iou len feroie menchoignant|se iou vous en voloie proier	quando vos vi començe a rreir|porque se|que vos lo faredes mentiroso y sabed	E tantosto com io voi agiunsi|si cominciai a ssoridere per ciò|ch io sapea bene|che voi el potreste fare menzogneri|se vo' voleste	⁊ si tost cõme it uoꝰ cor gneuz|si commẽca a rire pource q̃ ie sauoie bien|que uous le feriez mẽsõgier
2853|2854	Si avés ore oi|por quoi je rnioie	Oi aues vous oi porcoi iou rioie	que el don|que yo vos demando es	“Si avete ora udito perch io rideva	⁊ cest la cau se pour quoy ie rioie
				;	
2855|2856|2857	Et savés vos|quel don je vos demant|? — Nenil fet il devant	Et saues vous|quel don iou vous demanc: Iou vous demanc le sien cheual	que me dedes su cauallo de aquel Cauallero|por amor demi palafren	e sappiate voi qual dono i vo domando|? — Non|disse monsignore Yvano	Et sauez uous|quel don ie uous demãde
2858	que je l oie a		que el me tomo	davanti|ch io l oda	
2859	— Je vueil fet ele		E dixo don yban yo fare ay todo mi poder porvuestro amor y ella selo agradesçio mucho y le dixo yo me tornare conbusco y vos mostrare|do es el Cauallero y luego se torno la donzella con don yban y el le pregunto	— l' voglio	
				disse la damigella	
2860|2861	que vos me donés son cheval|por ce qu il me volt tolir le mien	pour lamor del mien quil me volt tolir	si le Conoçia y la donzella dixo|si Ca vos sodes don yban fijo del Rey vrian y sodes dela casa del Rey artur y conpañero dela tabla Redonda y don yban se callo|que no dixo palabra y|ansi se fueron porla floresta fasta	che vo mi doniate suo cavallo|per l amor di ciò|ch elli mi volea torre el mios	cest q̃ uous me dõnez sonche ual pour le mien quil me uoulut tellir
2862|2863	Et il dist qu il en fera son pooir de li doner|Donc retornerai je fet ele	Et il li dist quil en fera tout son pooir|Dont retornerai iou fet elle	que vieron la tienda entonçes le dixo la donzella señor en aquella tienda fallaredes el cauallero entonzes don yban enlazo su yelmo	Ed e' dice|che nne farà tutto suo podere di lei donarlo|Dunque ritornerò io	Etil lui dist quil en feroit son pouoir|Et elle dit q̃|donc retournera elle
				diss ella	
2864|2865	et vos menrai la ou li chevaliers est|Lors retorne la damoisele	& vous menrai la ou li cheualiers est: yors retorne la damoisele	e tomo su escudo y puso la lança so el su braço y fuese ado estaua el cauallero y el cauallero dela tienda salio fuera y tanto	e vo menerò là ove el cavaliere est|eAllor ritorna la damigella	⁊ se menera ou est le che¬ ualicr
2866|2867	et mesire Yvain li demande Damoisele savés vos|qui ie sui	Et mesire ywains li demande|Damoisele saues Lvous|qui iou sui	que vido a don yban subio ensu cauallo y tomo su esudo y su lança y el estaua muy bien armado y dixo a don yban conuiene vos señor cauallero de yr apie y dexar ese Cauallo	e monsignor Yvano le domanda||diss ella	E auez uous bien dit messire pr ain qͥ ie suis|Mp dit elle
				sapete voi chi sono	
					
2868|2869|2870	? — Ofl fet ele vos estes de la maison le roi Artu|et de sa cort|et b avés non mesire Vvain li fiz al roi Urien	Oil sire fait elle|vous aues non mesire ywainz	que mi amiga lo quiere y dixo don yban	vo' siete della magione di monsignor lo re Artù|e di sua corte|e avete nome monsignor Yvano|el figliuolo del re Orinis	uous estes de la maison du roy artus|⁊ cempaig non de la table ronde|⁊ auez nem messite puain le filz au royurien
2871	Et il s en rit C rorest	Si fustes au roy vriien		ed e' se ne soride|aInsi se ne vanno parlando	Et il se teust
				tanto che vengono presso della foresta	
2872	et la damoisele li mostre le paveillon	& il se teut quil ne dist mot		e la damigella gli mostra el padiglione|	que mot ne dit
2873	Veez la Ensi parlant s en vont tant qu il vienent pres d une fet ele le lieu ou li chevaliers est	Si vont ensi parlant ensamble tant quil sen vienent deuant le paueillon|Et la damoisele li dist Sire vees la le cheualier		diss ella|ove el cavaliere esto	Ainsi sen uõt par lant tant quilz uiennent en fa forest|⁊ la da¬ moiselle lui monstre le paueillen ou est leche ualier
2874	Et il met maintenant son hialme en sa teste	Et mesires ywains met son heaume en sa teste		; ed e' mette immantanente l elmo in sua testa	⁊ le cheual ier sault hors du paueillon son heau me en sa teste
2875	et enbrace l escu	& embrace son escu		e si imbracciò lo seudo	⁊ allogne le gl aiue
2876|2877	et aloingne le glaive a|et s en vet galopant cele part	& slen vait cele part ou li cheualiers estoit		e slunga la lancia|e se ne va gualoppansdo in quelle parti	⁊ se met celle part ou messire yuain estoit
2878|2879|2880|2881|2882	Et li chevaliers del paveillon saut tantost com il ot te cheval venir|si monte en son destrier|et prent son escu|et son glaive|et il fu bien armés de totes armes;	Et li cheualiers saut hors del pauellon tantost quil le voit uenir|Et monte errant sor son destrier|& estoit moult bien armes de toutes armes	si avuestra amiga Conuiene	|si monta in suo destrieri|e prende suo scudo|e sua lancia|;Se|si fu bene armato di tutte armi	Ei dit a messire puain de tãt loingz comme il le uoit|Gire cheu alier il uous conuiẽt aler a pie
2883|2884	si dist a mon seignor Yvain de|si loins com il le voit Sire che valiers il vos en covient aler a pié kKar m amie velt avoir vostre cheval	Si dist a monseignor ywain|Sire cheualiers il vous conuient aler a pie|quar il a chaiens vne damoisele	que aya mi cauallo	e si disse a monsignor Yvano|di|e vo ne conviene andare a piè|ché mia amica vuole avere vostro cavallo	car mamie ueult uostre cheual
				si lungi com'elli el vide	
				: eSire cavaliere	
		qui est mamie			
2885|2886|2887	— Bials sire fet mesire Yvain se vos volés qu ele ait le mien|donc me covient il avoir le vostre|kar a pié ne m en iroie je pas	qui veult auoir vostre cheual|Biau sire fait mesire ywains sil conuient|que elle ait le mien il conuient|que iou aie le vostre|Car a pie ne men iroie iou pas	asi conuiene ami	—Bel sire|disse monsignore Yvano|dunque mi conviene elli avere el vostro|ché a piè non me ne andrei io mica	Geausue dit mõ seigneur puain sil conuient q̃ elle ait mon che ual il cõuient q̃ it aie le uostre|car a pie ne mẽ iroie ie pas
					Il le uous conuient baillier: ou a moy combatre fait le cheualier
				se vo' volete	
				ch ella abbia el mio	
2888|2889|2890	|et lors|si l avrai	Il le vous conuient baillier fait li cheualiers ou combatre a moi|Et lors laurai iou	que aya ese vuestro	— E elli el vo conviene|diss elli|a forza fare o io mi combaterò ad voi|: alor|si l arò	⁊ lors|si le ac urapie
2891	si ne vos en savrai nul gré ne ele ausi	et si ne vous en salulrai gre ne mamie aussi		si non ve ne saprà mia amica nullo grado	⁊ si ne uoꝰ en saurap ia gre ne elle aus si
2892|2893|2894	— Par foi sire chevaliers fet mesire Vvain|et de son gré|et del vostre me sorferroie je bien ançois	par foy fait mesire ywains de uostre gre|& du sien me sofferroie bien aincois	ca de pie no yre yo avos conuiene delo dar dixo el cauallero o devos conuatir conmigo entonçes lo abre y no boslo agradeçere yo ni ella eso mesmo y dixo don yban devuestro agradeçimyento ni del suyo me sufrire yo agora bien antes	— Per fé|disse monsignor Yvano|del suo grado|e del vostro mi soffero io or bene|inanzi	far ma foy fait messire puain de son gre|⁊ du uostre me passeray ie bien
2895	que je feisse chose	que iou fesisse chose	que fazer cosa	ch io facesse cosa	
2896	qui a honte me tornast	qui a honte me tornast	que a desonrra seme tornase	ch lal onta mi tornasse	
				“E sapiate	
2897	Mes l en me devroit molt tenir a fol se je mon cheval vos bailloie	Et si me deueroie iou bien hair|& por fol tenir se iou mon cheual vous bailloie	mas antes me deuian tener	che l uomo mi dovrebbe molto tenere a folle|se mi cavallo vo donasse per andarmene a piè	
2898	por aler m en a pié !	& men aloie a pies	por loco		
2899	Si n estes mie sages se vos le cuidiés a	Si estes|si fols	si mi cauallo vos diese y me fuese yo depie	si non siete mica saggio se vo' l credete|— Che	
2900|2901	— Vos n en feriés rien|por moi	que vous quidies|que iou le vous baille ainsi sans cop ferir|vous nen ferois	mas mucho sodes loco|si cuidades	? Non ne farete nulla per me	Ei estes fol de cuider
2902	? fet I chevaliers	dont riens fet li cheualiers	que vos diese mi cauallo sin golpe ferir non faredes|mas por my dixo el cauallero non	?|disse el cavaliere	
