,,micha_ii-48.txt,sommer_tome_4-ii-48.txt,lanzarote-ii-48.txt,lancellotto-ii-48.txt,inc-ii-48.txt,fr111-ii-48.txt,fr751-ii-48.txt
788,1177,si le prent par les espaules,si le prent par les espaulles,e tomolo porlos braços,si prende lo scudieri per le spalle,Il le prent par les espaulles,et le prent par les espaules,et le prant as espaules
789,1178,et le lieve devant lui sor l arçon de la sele,& le met par deuant lui sor le col de son cheual,e pusolo antesi sobre el cuello del cauallo,e lieva davanti lui sopra l arcione della sella,et le met deuant lui es arcons de sa selle,et le lieue deuant luy sur larcon de la sele,et le trait deuant lui sor larson de sa cele
790,1179,si s en torne a tot,si sen torne a tout,e salio conel dela tienda,si se ne va con tutto lui broccando,si sen ua atout,si sen tourne atant,Si sen torne atant
791,1180,Et quant cil del paveillon voit ce,Et quant li cheualiers del paueillon vit chou,e el cauallero quelo vio,'E quando il signor del padiglione vide ciò,Et quant celui du paueillon uoit ce,Et quant cil du paueillon uoit ce,et quant cil del pauillon uoit ce:
792,1181,si crie a Lancelot Ha bials sire je sui mors se cil enporte ensi mon frere,si crie a lancelot|Sire iou sui mors sil emporte ensi mon frere,ansi lleuar començo a dar vozes a lançarote ay señor muerto so|si asi me lleba a aquel escudero mi hermano,si isgrida a Lancellotto|: Al bel sire io son morto se que' ne porta insi mio fratello ché l uccidrà se nonn è soccorsol,si crie a lancelot|Haa sire ie suis mort se celui emporte mon frere,si crie a lancelot|Haa beau sire ie suys mort sil emporte ainsi mon frere Car il loccira sil nest secouru,Si crie a lancelot a biax sire ie sui mors ce ciz en porte mon frere
793,1182,kar il l ocirra s il n est secors:,quar il locirra sil nest secorus,Ca lo matara|si lo no acorredes,,car il loccira sil nest secouru,,Car il locirra ia|ce i nest cecorus
794,1183|1184,si vos pri|por Dieu,Si vous pri pour dieu,e porende vos Ruego|por dios,Si vo priego per Dio,Si uous prie pour dieu,si uous pry pour dieu,Si uous pri|por dieu
795,1185,que vos i metés paine,que vous metes paine en lui rescorre,que me ayudedes alo cobrar,che vo' vi mettiate pena in lui riscuotere,que uous mettez paine a le secourir,que uous mectez,que uos metes painne en lui rauoir
796,1186|1187,Et Lancelos saut de la table|et demande ses armes,si demande ses armes LEt vns escuiers vint a lui,e lançarote salio|luego dela mesa|e pidio sus armas a vn su escudero,e domanda sue armi,Et lancelot sault hors de la table|et demande ses armes,et ung escuier uient a luy|si luy dist|Certes fait il|uoz armes,Et lancelot saut de la table|et demande ses armes
797,1188|1189|1190,et I|escuiers vint avant|si li dist Par foi sire vos armes,si li dist Par foy sire vos armes,Que y estaua le dixo señor|Por buena fee el cauallero vos a hecho llebar vuestras armas,e uno scudiere viene avanti|che gli disse|Per fé vostre armi,et ung escuier uint a lui|et lui dist|Par ma foy sire uoz armes emportent il,et demourra|que ie ne les suyue|Lors uient hors du paueillon,et uns escuiers saut auaut|si li dist|Par foi sire
798,1191|1192|1193|1194|1195|1196,et vostre cheval enmainent il ! — Voire fet il|par mon chief ja|por ce ne remaindra|que je nes sieve|et li chevaliers o lui|et il esgarde cels,et vostre cheual enmainent il voire fait il : par mon chief|por chou ne remandra il mie|que ams iou ne lez sieue|Et lors sen ist hors del paueillon|et li cheualiers aueques lui|et il regarde chiaus,e vuestro cauallo pormi cabeza dixo lançarote ni|por eso non fincara quelo non siga|e luego salio lançarote dela tienda|e el cauallero conel,e vostro cavallo ne mena elli|— Vere diss elli per mio capo già per ciò non rimarrà|ch io nol seguiti|Allor va fuori del padiglione|e l cavaliere con lui ed e'risguardano quelli,Par mon chief pour ce ne ne demourra il pas|que ie ne le suiue|Et lors sault hors du paueillen|et le cheualier auec lui Ilz regardent ceulx,et les peine a le rauoir|et lancelot sault de la table|et demande ses armes uostre cheual emmainent ilz|uoire fait il|Par mon chief pour ce ne cheualiers o luy|et il regarde ceulx,et uos armes|et uostre cheual enmainnent il|uoire fait cil: par mon chief iaporte ne remandra|que ie nes sieue|Lors uient fors del pauillon|et li cheualiers o lui|et regardent cex
799,1197,qui s en vont,qui sen vont,e vieron yr los caualleros pasando el agua Porvna puente de madero señor dixo lançarote al cauallero fincad vos aqui no fare dixo el,che se ne vanno,qui sen uont,qui sen uont,qui sen uont
800,1198|1199|1200|1201,qui ja avoient passé l eve par J|pont de fust;|et Lancelos demande al chevalier s il remaindra|Sire fet il nenil ains vos ferai compaignie,qui auoient passe laigue par|j|pont de fust|Et lancelot demande au cheualier sil remandra Sire fait il nenil ains vous tendrai compaignie,mas antes yre con vos|fasta que falledes quien vos de armas|e cauallo enque sigades el cauallero,che già avieno passato l acqua per un ponte di legno Pe Lancellotto domanda al cavaliere s elli rimarrà ed|e dice|Sire non anzi vo farò compagnia,qui auoient ia passe leaue par ung pont de fust|Lancelot demande au cheualier sil demourra|Sire fait il nenny ains uous feray compaignie,qui auoient ia passe leaue par ung pont de fust|Et lancelot demande au cheualier sil demourra|sire fait il nennil|ains uous feray compaignie,qui ia auoient passe leue par|i|poncel de fust|et lancelot|demande au cheualier ce il remaindra|Sire fait cil non|ains uos ferai compangnie
801,1202|1203,tant que nos aions trové|qui armes vos baut,tant que vous aies troue|qui armes vous volsist baillier,Luego se començaron de yr,tanto che noi troviamo chi armi vo doni,tant que uous aiez trouue|qui armes uous baillera,tant que nous ayons trouue|qui nous preste armes,tant que nos aions troue|qui armes nos baut
802,1204|1205,Lors acueillent lor voie tot a pié|et vienent au pont,Lors acoillent lor chemin droit au pont,e andubieron tanto fastaque llegaron ala puente de madera,Allora accolgono lor camino tutto a ppiè|e vengono al ponte,Lois uiennent au pent tout a pie,Lors acceillent leur uoye tout a pie|et uiennent au pont,Et lors acuellent lor uoie|tout a pie|et uienent au pont
803,1206,si passent outre,& passent outre,e pasaronla,si passano oltre,et passent oultre,si passerent oultre,si passent outre
804,1207|1208,et s adrecent a I|tertre par ou li chevalier s en vont;,Et sadrecent a vn tertre par ou li cheualier vont,e fueronse contravn otero|Por do los caualleros se yuan,e s adirsizlano al poggio per dove il cavaliere se ne va,et se adrecent a ung terte par ou les cheualiers uont,et sadrecent au chemin par ou les cheualiers sen uont,et sadrescent au tertre par ou li cheualiers sen ua
805,1209,si n ont gaires alé,Si nont gaires ale,e lançarote,,Si ne ont gaires alle,si nont gueres alle,Si nont gaires ale
806,1210|1211,quant il encontrent I|chevalier armé d unes armes noires,quant il ont encontre|j|cheualier a vnes armes noires,e el cauallero fueron tanto enpos ellos fastaque encontraron vn cauallero armado devnas armas negras,Si non ebbono guari andato quando elli incontrarono uno cavaliere a une armi nere,quant ilz encontrent ung cheualier arme dunes armes noires,que ilz encontrent ung cheualier arme dunes armes noires,quant il uoient|i|cheualier arme a unes armes noires
807,1212|1213,qui venoit al pont par I|chemin de travers,qui venoit au pont par|j,que venia ala puente porvn sendero pequeño altrabes,che vlenlia al ponte per uno camino di traverso,,qui uenoit au pont par ung chemin de trauers,qui uenoit au pont par|i chemin de de trauers
808,1214|1215|1216|1217,Et quant il voit Lancelot|si s areste|por ce|que bien le conoissoit,Et quant il vit lancelot|si sarreste|por chou quil le connut bien,e quando el vio a lançarote|luego lo conoçio,E quand e' vide Lancellotto|si si arestò per ciò|che ben lo conosce,Quant il uist lancelot il se arresta pource qu il le congnoissoit bien,et quant il uoit lancelot|si se arreste par ce|que bien le cognoissoit,et quant il uoit lancelot|si sareste|por ce|que bien le quenoissoit
809,1218,si li demande ou il vet ensi a pié tos desammés,Si li delp tis clmande ou il aloit ensi tout a pie|et desarmes,e estovo quedo fastaque llego,si gli domanda ov elli va insi a piede|e tutto disarmato,et lui demanda ou il alloit ainsi a pie tout desarme,si luy demande ou il ua ainsi a pie|et tout desarme,Si li demande ou il ua|Si a pie
810,1219|1220,Qui estes vos sire chevaliers fet Lancelos|qui me demandés ou je vois,Mui estes vous ls tezel fait lancelot|qui me demandes ou ie vois,e dixole señor|do ydes|asi de pie|e desarmado,PeChi siete voi disse Lancellotto sire|che mi domandate ov io vò,Quest ce fait lancelot demandez uous ou ie uois,Qui estes uous fait lancelot sur cheualier|qui me denandez ou ie uoys,et ansi desarmes|Qui estes uos fait il sire cheualiers|qui me demandes ou ie uois
811,1221|1222,? — Je sui fet il I|chevaliers d estrange païs,Iou sui Ofait il vns cheualiers destrange pais,e quien sodes vos dixo lançarote yo so dixo el vn cauallero destraña tierra,,Oy sire|si suis ung cheualier destrange pais,Ie suys fait il ung cheualier estrange,Ie sui fait il de cest estrange pais
812,1223|1224,mais molt me merveil de ce|que je vos voi ensi aler,qui moult mesmerueil de chou|que iou vous voi ensi aler,que mucho me marauillo|porque vos veo yr,che molto mi maraviglio di ciò|ch io vi veggio insì andare,qui moult me merueille de uous uoir aller ainsi,mais moult me merueille de ce|que ie uous uoy ainsi aller,mais moult me merueil de ce|que ainsi uos uoi aler
813,1225,Et Lancelos li conte comment il estoit herbergiés,Et lancelot li conte comment il estoit herbergies,,,Et lancelot lui compte comment il estoit hebergie:,et lancelot luy comte comment il estoit herberge,et lancelot|li conte comment il estoit ainsi herbregiez
814,1226|1227,et comment I|chevaliers vint laiens ou il menjoit,et comment li valles fu pris,asi e apie|e lançarote lo conoçio,e come uno cavaliere venne là entro ov elli mangiavano,et comment ung cheualier uint la ou il mengoit,et comment ung cheualier uint leans,et coment li cheualiers enporte lescuier
815,1228|1229|1230|1231|1232,qui prist a force I|vaslet|et le mist sor le col de son cheval|Et encore m a il plus meffet fet Lancelos|kar cil,et sez armes|& ses cheuals emportees,e començole a contar|como el cauallero lo aluergara|e como el otro les llebo el escudero|que ala mesa seruia afuerça ençima del cauallo,e prese uno scudieri a forza davanti noi|e l mise sopra l collo di suo cavallo|e ancor m à elli più misfatto disse Lancellotto ché quelli,qui print a force ung uarlet|et le mist sur le col de son cheual|Et encores y a il plus fait lancelot|car ceulx,qui print a force ung uarlet|et le mist sur le coul de son cheual|et encor ma il plus meffait|Car ceulx,et encor ma il plus mesfait fait fait lanceloz|Car cil
816,1233|1234,qui avec lui vindrent enporterent mes armes|et enmenerent mon cheval a —,,e como le fiço llebar sus armas,che con esso lui venono ne portano mie armi|e ne menano mio cavallo,qui auec luy sont emportent mes armes|et emmainent mon cheual,qui uindrent auec luy emporterent mes armes|et emmenerent mon cheual,qui auec lui uindrent enportent mes armes|et en mainnent mon cheual
817,1235|1236,Quel guerredon fet cil porroie je atendre de vos se je|por vos me desarmoie,Quel guerredon fait cil porroie iou de vous atendre : se ie|por vous me desarmoie,Que galardon me daredes dixo el cauallero,—E quale guiderdone potre io di voi atendere s io per voi mi disarmasse,quel guerdon fait celuy pouroie ie auoir de uous se ie me desarmoye,Quel guerdon pourroye ie actendre de uous|si ie pour uous me desarmoye,Quel guerredon porroi ge atandre de uus se ie uos bailloie mes armes
818,1237,et vos bailloie mes armes,& vous bailloie mes armes,si vos diese mis armas,e vo donasse mio cavallo,et uous bailloie mes armes,et uous balloye mes armes,
819,1238|1239,et mon cheval|? — Certes fet Lancelos tel com vos deviseriés,et mon cheual|Certes fait lancelot tel comme vous deuiseres,e mi cauallo porçierto dixo lançarote tal qual vos supieredes deuisar,e mie armi|? — Certo sire disse Lancellotto tale come diviserete,et mon cheual|certes fait lancelot: tel comme uous deuiseres,et mon cheual|Certes fait lancelot tel comme uous deuiseriez Se uous me creancez,et mon cheual|Certes fait lancelot|tel com uous deuiserois
820,1240|1241,— Se vos fet il el premier lieu ou je vos troverai armé|por que je soie desarmés me creantés a doner vos armes ¡e vos bailleroie les moies,Se vous fait cil el premier lieu ou iou vous trouerai arme me creantissies a baillier vos armes Iou vous bailleroie lez moies Certes fait lancelot volentiers par ensi,si vos me juraredes dixo el Cauallero|que enel primer lugar|que vos fallare armado|e yo fuere desarmado me dedes vuestras armas yo vos dare estas mis armas,—|e vo' disse il cavaliere a l arme nere nel primaio luogo ov io vo troverò armato per|ch io sia disarmato mi volete dare vostre armi|e ciò mi volete impromettere io vo donerò le mie,se fait il au premier lieu ou ie uous trouueray arme me promettes a bailler uos armes ie uous bailleray les miennes Certes fait lancelot,que ou premier lieu|que ie uous trouueray arme par ainsi|que ie soye desarme|que uous me baillerez uoz armes ie uous bailleray les moyes,Ce uous fait cil me creantes|que el premier lieu ou ie uos troueroie arme|puis que ie fusse desarmes me donriez uos armes|le uous bailleroie les moiees
821,,,,,che molto sono buone,,,
822,,,,,e difensaboli,,,
823,1242|1243|1244,— Certes fet Lancelos|si ferai je|por que vos ne me truisiés combatant,que vous ne me truisies combatant,e mi cauallo Muy de grado dixo lançarote ental|que me non falledes conuatiendo,— Certo disse Lancellotto|si farò io purché voi non mi troviate combattendo,si feray ie pour|tant que uous ne me trouues combatant,Certes fait lancelot|si feray ie|mais que uous ne me trouuez combatant,Certes fait cil|si ferai ge|puis que uos ne me trussiez conbatant
824,,,,,E que' dice,,,
825,,,,,che si dic elli,,,
826,1245|1246,Et cil descent maintenant|si se desarme,Et cil descent maintenant|si se desarme,e luego selo juro|entonçe desçendio el cauallero desu cauallo|e desarmose,e Lancellotto gliel promette immantanente a donare|sImmantanente discende il cavaliere|e disarma,et celuy deschent maintenant sy se desarme,Et il descent|si se desarme,et cil descent maintenant|si se desarme
827,1247,et baille a Lancelot tot son hernois,& baille a lancelot tout son harnois,e dio todas sus armas|e su Cauallo a Lançarote,e dona a Lancellotto sue armi,et baille tout son harnois a lancelot,et baille a lancelot tout son harnoys,et baille a lancelot son harnois
828,1248,et il s en appareille,Et il sen appareille tout maintenant,e Lançarote se armo,e suo arnese ed e'se n aparecchia,et il sen appareille,et il sappareille,et il sarme
829,1249,et monte en son cheval,et monte sor le cheual,e subio enel cauallo,si monta in suo cavallo poscia dice a suo oste|ch elli,,et monte a cheual,et monte en son cheual
830,1250|1251,puis dist a son oste qu il s en retort; Imes il dist|que non fera,& dist a son oste quil sen retort,e dixo asu huesped|que se tornase No fare dixo el huesped,si ritorni|e que' dice|che non farà,,puis dist a son hoste quil sen retourne|mais il dit|que non fera,Puis dit a son oste quil sen retort|et il dit|que non fera
831,1252,Si ferois fet Lancelos a lar je conoistrai bien les armes a celui,quar iou connistera bien lez armes a celui,si faredes dixo lançarote|que yo conoçere vien el cauallero enlas armas,Si farete disse Lancellotto|ch io conoscerò bene l armi di colui a cui io vo cheggendo in quale,,si ferez fait lancelot|car ie cognoistray bien les armes de ceulx,Si ferois fait lancelot|Car ie quenoistrai bien ciax as armes
832,1253|1254|1255,que je vois querant en quelque lieu je les truisse|Et cil dist|puis qu il velt s en retornera:,qui iou vois querant|Etr cil dist|que dont sen retornera il|puis quil le veult,que lleba en qualquier lugar|que el vaya yo me tornare dixo el huesped pues vos plaz,che luogo|ch io il trovasse|VE que' dice che poscia|ch elli vuole|ch elli|si tornerà|:,et mente sus le cheual|et fait retourner son hoste,que ie uoys querant en quelque lieu|que ie les trouue|Et il dit quil retournera|puis quil le ueult,que ie uois querant en|quel que lieu|que ie les truisse|et cil dit|puis quil le ueit il sen retornera
833,1256,si s en vet,Si sen retorne atant,E luego se torno,si se ne va,,si sen ua,Si sen ua
834,1257,et enmaine o lui le chevalier,& enmaine aueques lui le cheualier,e llebo consigo el cauallero quelas armas auia dado a lançarote,e mena con esso lui il cavaliere,,et emmaine auec luy le cheualier,et enmainne le cheualier auecque lui
835,1258|1259|1260,qui molt est liés de ce|que Lancelos li doit I|guerredon,qui moult est lies de ce|que lancelot! doit|j|guerredon,que yua muy alegre de aquello|que lançarote le auia prometido,che molto est lieto di ciò|che Lancellotto gli dee uno guiderdone,et prent congie de luy,qui est moult lie de ce|que lancelot luy doit ung|guerdon,qui moult est liez de ce|que lancelot li doit guerredoner
836,1261|1262|1263,Et Lancelos aquelt son chemin aprés cels|que|? il sieut tant qu il est venus el tertre en haut,Et lancelot|si acuelle son chemin|por aler apres chiaus quil sieut|Tant quil est uenus el tertre en haut,e lançarote se fue porel camino enpos el cauallero|e andubo tanto|fasta que paso porel otero,E Lancellotto accoglie suo camino apresso coloro|che seguita tanto|ch egli è Purchél penurche|Vjenhaj via venuto al poggio in alti,lancelot print son chemin apres ceulx|qui sen uont tant quil est uenu eu tertre en hault,Et lancelot preut son chemin apres ceulx quil suyt tant quil est uenu ou tertre en hault,Et lancelot aquiet son chemin apres ciax|que il sieut|tant que il est uenus el haut tertre
837,1264|1265,et lors voit devant lui la forest|que l en apele la forest des Trois Perilx,Et lors uoit deuant lui la forest dez|iij|perieus:,e llego avna floresta|que llamauan la floresta delos tres pilares,Allora isguarda davanti lui|si vide la foresta|che l uomo chiama la foresta de' Tre Perigli,et lors uoit deuant luy la forest des trois perilz,Et lors uoit deuant luy la fourest quon appelle la fourest des troys perilz,et lors uoit deuant lui la forest des trois perilx
838,1266|1267,et ce|por quoi ele fu ensi apelee devisera bien li contes ça avant,Et chou porcoi elle est ensi apelee deuisera bien li contes cha auant,e porque fue ella|asi llamada este cuento lo deuisara aca adelante,e ciò perch ella fu insi chiamata vo diviserà il conto ben qua avanti,et ce pour quoy elle est ainsy appellee deuisera bien le compte cy en auant,Et pourͭ quoy elle fu|ansi appellec uous deuisera bien le comte cy apres,et ce porquoi ele fu ainsi apelee ce deuissera li contes sa auant
839,1268,Quant il fu amont el tertre,Quant lancelot fu amont el tertre,Quando el llego ala floresta,Sl oQuand|e fu montato nel poggio,QUant il fust amonlt eu tertre,Quant il fu amont ou tertre,Quant lancelot|fu amon el tertre
840,1269|1270|1271|1272|1273|1274|1275,si esgarde devant lui|mais il ne voit nul de cels|que il queroit|kar il s estoient ja ferus en la forest|Et totes voies sieut il les esclos des chevals|tant que il vient a l entree de la forest;|et lors encontre une damoisele tote chenue,si regarda deuant lui|mais il ni uit nul de ceaus|que il queroit|quar il sestoient ia feru en la forest|Et toutes voies sieut il lez esclos dez cheuaus tant quil est uenus a lentree de la ; forest|Et lors encontra vne damoisele toute kenue,e no vido aquel enpos quien yua|e fue|entonçe porende muy triste|entonçe encontro vna donçella envn muy fermoso palafren,si isguarda davanti lui|ma elli non vide nullo di quelli|ch elli chiedea ché s erano già messi nella foresta|ch egli è venuto all entrata della foresta|Allora incontrò elli una dama tutta canuta,si regarde deuant luy|et suyst les pas des cheuaulx tant quil uint a lentree de la forest|et lors encentra une damoiselle toute chanue,si regarde deuant luy|et il ne uoit nul de ceulx quil queroit|car ilz sestoient ia feruz en la foueest|a touteuoyes suyt il les escloz Des cheuaux tant quil uient a lentree|Et lors encontra une dame toute chenue,si regarde|Mais il ne uoit deuant lui nus de ciax|que il guiert|Car il cestoient ia feru en la forest|et totesuoiez sieut il les escloz des cheuaus|tant que il uient en lentree|et lors encontre une dame tote chenuee
841,1276|1277,qui chevalchoit molt cointement|et estoit tote deslie ses treces par ses espaules comme pucele,qui cheualchoit moult noblement|et auoit sez treches toutes desloies par sez espaulles comme pucele,que hera toda cana|e lleuaua los cauellos tendidos porlas espaldas|como si fuese muy moça,che cavalcava molto contamente suo capelli isparti per sue spalle com una pulcella,qui cheuauchoit menlt coinctement toute descheuelee|ses tresches entre ses espaulles comment une pucelle,qui cheuauchoit moult cointement|et estoit toute desliee les treces sur les espaules comme pucelle,qui cheuauchyt mlt coitement|et ert tote desliie|ses tresces par ses espaules comme pucele
842,1278|1279|1280|1281|1282,et avoit en son chief l|chapel de roses|kar c estoit entor la Saint Johan|Il le salue|et ele li dist,Et auoit en son chief chapel de roses|quar ce estoit entor la saint iehan : Il le salue maintenant quil la uit|Et elle dist,e traia vn capillejo de Rosas enla cabeça|Ca hera|entonçe por sant juan|e lançarote lo saluo,e avea in suo capo uno capello di rose ché ciò era intorno il Santo Giovanni|Elli saluta ed ella gli dice,et auoit sur son chief ung chapiau de roses|il la sallue|et elle luy dist,et auoit en son chef ung chapel de soucique|car cestoit entour la saint iehan Il la salue|et elle luy dist,et auoit en son chief un chapelat de rosez|Car cestoit Entor la feste saint iehen|Il la salue|et ele li dist
843,1283|1284|1285|1286|1287,que bone aventure li doinst Diex|Damoisele fet il me savriés vos a dire|quel part uns chevaliers o unes armes vermeilles s en vet|? — En non Diex fet ele je le vos enseigneroie bien se je voloie|— Dites le moi fet il par covent,que diex li donnast boine auenture|Damsolisele fait sil me sasulries vous enseignier|quel part vns cheualiers sen uait|qui porte vnes armes uermeilles|Enon dieu fait elle iou le vous enseigneroie bien se iou voloie|Dites le moi fait il par tel couuent,e ella lo torno sus saludes Donçella dixo lançarote saberme yades enseñar|por do va vn Cauallero devnas armas bermejas|Por dios dixo ella yo voslo enseñare bien|si quisiere dezidme dixo lançarote|Por tal conuenençia,che buona aventura gli doni lddio|Dama disse Lancellotto mi sapreste vo' dire in quale parti uno cavaliere a une armi vermiglie se ne va|? —Al nome di Dio diss ella il voi insegnerei bene s i' volesse|— Ditelme disse Lancellotto per convento,que bonne aduanture luy dennast dieu damoiselle fait il aues uous point ueu passer par cy ung cheualier a unes armes uermeilles|Eu nom dieu fait elle se ie uoulloie ie uous lenseigneroie bien dictes le moy fait il par tel conuenant,que bonne auanture luy doint dieu damoisele fait il me scauriez uous a dire quelle part sen ua ung cheualier a unes armes uermeilles Certes fait elle ie le uous enseigneroye bien|si ie uouloye|Dictez le moy fait il par conuent,que bone auauture li doint diex|Dame fait lancelot|me saurrez uos adire|quel part uns cheualiers a unes armes uermeilles sen ua|En nodieu fait ele ie le uos ensangneroie bien ce ie uoloie|Dites le moi fut il par couent
844,1288,que je soie vostre chevaliers el premier lieu ou vos me requerrois,que iou soie vos cheualiers el premier lieu ou vous me requerres,que yo sea vuestro cauallero enel Primer lugar,che sia vostro cavaliere nel primaio luogo|che vo me ne richiederete,que ie soie uostre cheualier au premier lieu|que uous me requerres,que ie soye uostre cheualier ou premier lieu|que uous me requerrez,que ie soie uostres cheualiers el premier lieu ou ie buos trouerai
845,1289|1290|1291,— Se vos me creantés fet ele|que vos me sievrois de|quel hore,Se vous me creantes fait elle|que vous me sieurres el premier lieu ou iou vous en semondrai,que me rrequerades Si vosme jurades dixo la donçella|que vayades conmigo|luego enla ora,—|?Se vo' mi giurate disse la vecchia|che vo'mi seguirete di qualche ora,se uous me promettes|que au pre,Se uous me creancez fait elle|que uous me suyurez a quelque heure,Se uous me uoles creanter|que uos me siere de|quel hore
846,1292,que vos en semoigne je le vos enseignerai,iou le vous enseignerai,que vos llamare yo voslo mostrare,ch i vo ne riglia io il vo insegnerò,mier lieu ou ie uous requesray uous me aideres ie uous lenseigneray,que ie uous semondray|ie le uous enseigneray,que ie uus en semongne ; ie le uos en sangnerai
847,1293|1294|1295|1296,Et cil li creante|dont il se repenti|puis molt durement tel hore fu|Or alés fet ele tot cest chemin,Et il li creante maintenant :|dont il fu|puis corocies|et moult se repenti tele heure fu|Ore ales fait elle tout chest chemin,e lanzarote lo juro|luego donde el se arrepintio despues muy duramente tal ora fue Vos yredes poreste camino dixo la donzella,Ed e' lel giura immantanente|donde si penté poscia duramente tale ora fu|“Or andate diss ella tutto questo camino,et il luy promet|denc depuys sen repentist,Et il luy creance|dont il se repenty|puis moult fort|Se allez fait elle tout ce chenin,et il li creante|dont il se repanti|puis moult durement tel hore fu|Or uos en alez fait ele par ci
848,1297|1298|1299|1300,si li mostre I|sentier estroit|qui aloit al travers de la forest|Si ne tornés fet ele de nule part,si li moustre|j|sentier estroit|qui aloit dentrauers la forest|si ne tornes nulle part,fasta que falledes vn sendero atrauieso dela floresta|e entonçe tomaredes aquel sendero,si gli mostra uno sentieri stretto|ch andava in traverso della forestasì non vi volgete diss ella i'nulla parte Se quando voi arete andato intorno a meza lega,Or alles fait elle tout ce chemyn en trauers de la forest sans tourner de nulle part,si luy monstre ung sentier moult estroit|qui aloit a trauers de la fourest|et luy dist quil ne tourne ca ne la,si li mostre|i|estroit santier|qui aloit outre uers de la forest|Si ne tornez de nule part
849,1301,et quant vos avrois alé entor demie lieue,Et quant vous asulres erre demie lieue,e desque hubieredes porel andado,,Quant uous aures cheuauche enuiron demye lieue,Et quent uous serez fait elle alle entour demye lieue,et quant uos aures ale entor demie lieue :
850,1302|1303,si verrois delés I|vivier trois paveillons tendus,si troueres|iiij|pauellons sor|j|uiuier|? tendus,quanto vna legua fallaredes antevn nogal tres tiendas Armadas,si vedrete dallato uno vivaio intorniati quatro padiglioni tenduti,si uerres de les une riuiere trois pauillons la dedens trouueres le cheualier,si uerrez de la ung mont quatre paueillons tenduz,si uerres delez|i|uanier aux pauillons tandus
851,1304,La dedens troverois le chevalier,et la dedens troueres le cheualier,e enla vna dellas fallaredes el Cauallero,: di dentro troverete il cavaliere,,La dedans trouuerez le cheualier,La dedens troueres le cheualier
852,1305|1306,que vos querés|que l en apele Arramant le Gros;,que vous queres|que on apele atramant le gros|?,que buscades aque llaman aramante el grueso,che vo' chiedete|che l uomo chiama Aramonte il Grosso,que uous demandes|et len lappelle arrement le gras,que uous querez|que len appelle arramant le grec,que uos queres|que len apele arramant le gros
853,1307|1308,si le conoistrois a ces enseignes qu il a en mi le front II|plaies,si le connistres a ces enseignes quil a en mi le front|ij|plaies,e vos lo conoçeredes porestas señales en medio dela frente ados llagas agora vos podedes yr,si 'l conoscerete a queste insegne|ch egli à nel miluogo del viso due colpi,et le cengnoistres a telles enseignes quil ha deux playes au frent,si le cognoistrez a ces enseignes quil a deux playes enmy le front,Si le quenoistres a ses ansangnes quil a el fronc|ii|plaieez
854,1309,Or vos en poés aler,Or vous en poes aler fait elle,,Or vo ne potete andare ma',or uous en poues aller mes,Se uous en pouez aller,Or uos en poez aler
855,1310,mais que vos m aiés dit vostre nom,mais que vous me dites vostre non,mas anteme deçid|como auedes nombre,che vo' m abiate detto vostro nome,que mayes dist uostre nen,mais que uous mayez dit uostre nom,mais que uos mauez dit uostre non
856,1311,Et il se nome molt a envis,Et il se nomme moult a enuis,e el se nombro mucho amidos,si noma molto ad invidia,et il se nomme monlt enuiz,Et il se nomme a moult grant peine,et il se nome moult a enuiz
857,1312|1313,et totes voies li dist qu il a non Lancelot del Lac|Alez a Dieu fet ele,mais toutes voies li dist il quil a a non lancelot del lac,e dixo yo he nombre Lançarote del lago Lançarote se partio|luego dela donçella,e tuttavia le diss elli|ch egli à nome Lancellotto di Lac|Atanto,et dist quil a a nen lancelot du lac,Et toutesuoyes luy dit il quil a nom lancelot du lac|Et il sem part a tant,et totesuoiez dit il quil a non lancelot del lac|si sen part atant
858,1314|1315|1316|1317,et s en vet tot le chemin qu ele li avoit enseigné|si grant aleure com il plus puet del cheval traire|tant que il atainst les chevaliers|que il sievoit,A tant sen uait lancelot tout le chemin|que elle li ot enseignie|si grant TTaleure comme il puet del cheual traire|tant quil ataint lez cheualiers as quil sieuoit,e fuese Porel camino|que ella hauia mostrado|e yua tan apriesa|quanto el cauallo podia andar|e andubo|asi fasta|que alcanço los caualleros depos quien yba,si parte dalla vecchia|e se ne va tutto suo camino|ch ella l avea insegnato sì grande andatura come può del cavallo trarre|e tanto|ch elli agiugne il cavaliere|ch elli seguia,A tant sen ua lancelot tout le chemyn quelle luy a enseigne|tant quil attaint le cheualiee,et sen uait tout le chemin quelle luy auoit enseigne|si grant aleure tant quil ataint les cheualiers qu il suyuoit,et sen ua tout le chemin|que cele li auoit ensangnie|Si grant aleure comme il puet del cheual traire|Et tantost ataint les cheualiers|que il suoit
859,1318|1319,Et cil lor i escrie|si haut,si lor escrie|si haut,e el les començo a dar vozes de,,si luy escrie|si hault,Et il leur escrie|si hault,et il les escrie|si haut
